column,role,description
label,label,Edge Impulse classification target.
capture_id,metadata/group,Logical capture ID. Keep complete groups together during validation.
node_id,metadata,Physical node identifier; do not use as an acoustic feature.
sample_index,metadata,One-second index within the logical capture.
dbfs,model_feature,Relative acoustic level. Kept instead of rms and uncalibrated db_spl.
f_peak_acoustic_hz,model_feature,Dominant peak within the firmware acoustic search range.
low_rumble_ratio,model_feature,Relative low-frequency/rumble content.
band_bass_ratio,model_feature,Energy ratio in the bass band.
band_low_mid_ratio,model_feature,Energy ratio in the low-mid band.
band_mid_ratio,model_feature,Energy ratio in the mid band.
band_presence_ratio,model_feature,Energy ratio in the presence band.
band_high_ratio,model_feature,Energy ratio in the high band.
band_bass_peak_hz,model_feature,Peak frequency inside the bass band.
band_low_mid_peak_hz,model_feature,Peak frequency inside the low-mid band.
band_mid_peak_hz,model_feature,Peak frequency inside the mid band.
band_presence_peak_hz,model_feature,Peak frequency inside the presence band.
band_high_peak_hz,model_feature,Peak frequency inside the high band.
dominant_band_ratio,model_feature,Energy ratio of the strongest firmware band.
dominant_band_peak_hz,model_feature,Peak frequency of the strongest firmware band.
fft_low_ratio,model_feature,Broad low-frequency FFT energy ratio.
fft_mid_ratio,model_feature,Broad mid-frequency FFT energy ratio.
fft_high_ratio,model_feature,Broad high-frequency FFT energy ratio.
fft_total_energy,model_feature,Total FFT energy for the one-second feature window.
dbfs_mean,room_fused_model_feature,Across-node mean of dbfs for one aligned second.
dbfs_std,room_fused_model_feature,Across-node std of dbfs for one aligned second.
dbfs_range,room_fused_model_feature,Across-node range of dbfs for one aligned second.
f_peak_acoustic_hz_mean,room_fused_model_feature,Across-node mean of f_peak_acoustic_hz for one aligned second.
f_peak_acoustic_hz_std,room_fused_model_feature,Across-node std of f_peak_acoustic_hz for one aligned second.
f_peak_acoustic_hz_range,room_fused_model_feature,Across-node range of f_peak_acoustic_hz for one aligned second.
low_rumble_ratio_mean,room_fused_model_feature,Across-node mean of low_rumble_ratio for one aligned second.
low_rumble_ratio_std,room_fused_model_feature,Across-node std of low_rumble_ratio for one aligned second.
low_rumble_ratio_range,room_fused_model_feature,Across-node range of low_rumble_ratio for one aligned second.
band_bass_ratio_mean,room_fused_model_feature,Across-node mean of band_bass_ratio for one aligned second.
band_bass_ratio_std,room_fused_model_feature,Across-node std of band_bass_ratio for one aligned second.
band_bass_ratio_range,room_fused_model_feature,Across-node range of band_bass_ratio for one aligned second.
band_low_mid_ratio_mean,room_fused_model_feature,Across-node mean of band_low_mid_ratio for one aligned second.
band_low_mid_ratio_std,room_fused_model_feature,Across-node std of band_low_mid_ratio for one aligned second.
band_low_mid_ratio_range,room_fused_model_feature,Across-node range of band_low_mid_ratio for one aligned second.
band_mid_ratio_mean,room_fused_model_feature,Across-node mean of band_mid_ratio for one aligned second.
band_mid_ratio_std,room_fused_model_feature,Across-node std of band_mid_ratio for one aligned second.
band_mid_ratio_range,room_fused_model_feature,Across-node range of band_mid_ratio for one aligned second.
band_presence_ratio_mean,room_fused_model_feature,Across-node mean of band_presence_ratio for one aligned second.
band_presence_ratio_std,room_fused_model_feature,Across-node std of band_presence_ratio for one aligned second.
band_presence_ratio_range,room_fused_model_feature,Across-node range of band_presence_ratio for one aligned second.
band_high_ratio_mean,room_fused_model_feature,Across-node mean of band_high_ratio for one aligned second.
band_high_ratio_std,room_fused_model_feature,Across-node std of band_high_ratio for one aligned second.
band_high_ratio_range,room_fused_model_feature,Across-node range of band_high_ratio for one aligned second.
band_bass_peak_hz_mean,room_fused_model_feature,Across-node mean of band_bass_peak_hz for one aligned second.
band_bass_peak_hz_std,room_fused_model_feature,Across-node std of band_bass_peak_hz for one aligned second.
band_bass_peak_hz_range,room_fused_model_feature,Across-node range of band_bass_peak_hz for one aligned second.
band_low_mid_peak_hz_mean,room_fused_model_feature,Across-node mean of band_low_mid_peak_hz for one aligned second.
band_low_mid_peak_hz_std,room_fused_model_feature,Across-node std of band_low_mid_peak_hz for one aligned second.
band_low_mid_peak_hz_range,room_fused_model_feature,Across-node range of band_low_mid_peak_hz for one aligned second.
band_mid_peak_hz_mean,room_fused_model_feature,Across-node mean of band_mid_peak_hz for one aligned second.
band_mid_peak_hz_std,room_fused_model_feature,Across-node std of band_mid_peak_hz for one aligned second.
band_mid_peak_hz_range,room_fused_model_feature,Across-node range of band_mid_peak_hz for one aligned second.
band_presence_peak_hz_mean,room_fused_model_feature,Across-node mean of band_presence_peak_hz for one aligned second.
band_presence_peak_hz_std,room_fused_model_feature,Across-node std of band_presence_peak_hz for one aligned second.
band_presence_peak_hz_range,room_fused_model_feature,Across-node range of band_presence_peak_hz for one aligned second.
band_high_peak_hz_mean,room_fused_model_feature,Across-node mean of band_high_peak_hz for one aligned second.
band_high_peak_hz_std,room_fused_model_feature,Across-node std of band_high_peak_hz for one aligned second.
band_high_peak_hz_range,room_fused_model_feature,Across-node range of band_high_peak_hz for one aligned second.
dominant_band_ratio_mean,room_fused_model_feature,Across-node mean of dominant_band_ratio for one aligned second.
dominant_band_ratio_std,room_fused_model_feature,Across-node std of dominant_band_ratio for one aligned second.
dominant_band_ratio_range,room_fused_model_feature,Across-node range of dominant_band_ratio for one aligned second.
dominant_band_peak_hz_mean,room_fused_model_feature,Across-node mean of dominant_band_peak_hz for one aligned second.
dominant_band_peak_hz_std,room_fused_model_feature,Across-node std of dominant_band_peak_hz for one aligned second.
dominant_band_peak_hz_range,room_fused_model_feature,Across-node range of dominant_band_peak_hz for one aligned second.
fft_low_ratio_mean,room_fused_model_feature,Across-node mean of fft_low_ratio for one aligned second.
fft_low_ratio_std,room_fused_model_feature,Across-node std of fft_low_ratio for one aligned second.
fft_low_ratio_range,room_fused_model_feature,Across-node range of fft_low_ratio for one aligned second.
fft_mid_ratio_mean,room_fused_model_feature,Across-node mean of fft_mid_ratio for one aligned second.
fft_mid_ratio_std,room_fused_model_feature,Across-node std of fft_mid_ratio for one aligned second.
fft_mid_ratio_range,room_fused_model_feature,Across-node range of fft_mid_ratio for one aligned second.
fft_high_ratio_mean,room_fused_model_feature,Across-node mean of fft_high_ratio for one aligned second.
fft_high_ratio_std,room_fused_model_feature,Across-node std of fft_high_ratio for one aligned second.
fft_high_ratio_range,room_fused_model_feature,Across-node range of fft_high_ratio for one aligned second.
fft_total_energy_mean,room_fused_model_feature,Across-node mean of fft_total_energy for one aligned second.
fft_total_energy_std,room_fused_model_feature,Across-node std of fft_total_energy for one aligned second.
fft_total_energy_range,room_fused_model_feature,Across-node range of fft_total_energy for one aligned second.
