label,capture_id,source_run_id,node_id,sample_index,timestamp_iso,dataset_split,dbfs,f_peak_acoustic_hz,low_rumble_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_presence_ratio,band_high_ratio,band_bass_peak_hz,band_low_mid_peak_hz,band_mid_peak_hz,band_presence_peak_hz,band_high_peak_hz,dominant_band_ratio,dominant_band_peak_hz,fft_low_ratio,fft_mid_ratio,fft_high_ratio,fft_total_energy
low,capture_20260719201551,capture_20260719201551,node03,3,2026-07-19T20:16:01.175Z,training,-86.25,328.1,0.373024,0.320339,0.279273,0.191594,0.08654,0.122253,46.9,328.1,515.6,2484.4,5109.4,0.320339,46.9,0.431534,0.403697,0.164769,0.0009671202
low,capture_20260719201551,capture_20260719201551,node04,3,2026-07-19T20:16:01.194Z,training,-86.96,328.1,0.39823,0.268128,0.303802,0.186586,0.104903,0.136581,46.9,187.5,656.2,3046.9,6093.8,0.303802,187.5,0.451518,0.356066,0.192416,0.0009232962
low,capture_20260719201551,capture_20260719201551,node01,3,2026-07-19T20:16:01.201Z,training,-85.16,281.2,0.317696,0.295504,0.480473,0.129099,0.041052,0.053872,46.9,281.2,562.5,3843.8,9656.2,0.480473,281.2,0.342502,0.588265,0.069233,0.002016601
low,capture_20260719201551,capture_20260719201551,node02,3,2026-07-19T20:16:01.243Z,training,-87.26,468.8,0.448133,0.295133,0.219315,0.221502,0.129934,0.134116,140.6,187.5,562.5,3375,8906.2,0.295133,140.6,0.46004,0.330809,0.209151,0.0007041808
low,capture_20260719201551,capture_20260719201551,node02,4,2026-07-19T20:16:02.179Z,training,-87.05,656.2,0.265442,0.204133,0.220954,0.318119,0.112113,0.144681,46.9,468.8,656.2,3046.9,6234.4,0.318119,656.2,0.294675,0.505489,0.199836,0.0008009453
low,capture_20260719201551,capture_20260719201551,node04,4,2026-07-19T20:16:02.273Z,training,-86.51,1031.2,0.436593,0.335721,0.193584,0.216798,0.119371,0.134527,46.9,187.5,1031.2,3187.5,8062.5,0.335721,46.9,0.472481,0.335729,0.19179,0.0008319709
low,capture_20260719201551,capture_20260719201551,node03,4,2026-07-19T20:16:02.315Z,training,-87.19,234.4,0.475832,0.394995,0.235811,0.175635,0.085383,0.108176,140.6,234.4,609.4,3281.2,9000,0.394995,140.6,0.544056,0.319944,0.136,0.0009799541
low,capture_20260719201551,capture_20260719201551,node01,4,2026-07-19T20:16:02.317Z,training,-85.05,234.4,0.523114,0.490256,0.308743,0.129603,0.032754,0.038643,46.9,234.4,796.9,2156.2,11156.2,0.490256,46.9,0.668741,0.279424,0.051835,0.002676114
low,capture_20260719201551,capture_20260719201551,node04,5,2026-07-19T20:16:03.193Z,training,-86.59,328.1,0.327162,0.218527,0.263576,0.226625,0.134807,0.156466,140.6,187.5,890.6,2765.6,8625,0.263576,187.5,0.3635,0.411772,0.224728,0.0007990641
low,capture_20260719201551,capture_20260719201551,node03,5,2026-07-19T20:16:03.200Z,training,-87.18,234.4,0.661856,0.586953,0.158618,0.10498,0.07075,0.078699,46.9,234.4,562.5,3281.2,11296.9,0.586953,46.9,0.749859,0.140115,0.110026,0.001359529
low,capture_20260719201551,capture_20260719201551,node01,5,2026-07-19T20:16:03.217Z,training,-84.91,328.1,0.541457,0.436208,0.336869,0.145178,0.034081,0.047664,46.9,187.5,843.8,2015.6,7453.1,0.436208,46.9,0.576939,0.361371,0.06169,0.002003338
low,capture_20260719201551,capture_20260719201551,node02,5,2026-07-19T20:16:03.269Z,training,-87.01,234.4,0.52478,0.390963,0.176818,0.213906,0.102122,0.116192,93.8,187.5,703.1,3843.8,5109.4,0.390963,93.8,0.561154,0.265949,0.172897,0.0009310226
low,capture_20260719201551,capture_20260719201551,node01,6,2026-07-19T20:16:04.226Z,training,-84.3,375,0.618405,0.554243,0.206866,0.120308,0.052285,0.066299,46.9,375,984.4,2812.5,5296.9,0.554243,46.9,0.628923,0.289657,0.08142,0.001453225
low,capture_20260719201551,capture_20260719201551,node04,6,2026-07-19T20:16:04.234Z,training,-86.52,703.1,0.175024,0.148417,0.144917,0.377582,0.148126,0.180958,46.9,281.2,703.1,2765.6,7312.5,0.377582,703.1,0.188576,0.57057,0.240853,0.000543906
low,capture_20260719201551,capture_20260719201551,node02,6,2026-07-19T20:16:04.236Z,training,-86.84,562.5,0.353766,0.29619,0.184232,0.319796,0.080196,0.119586,46.9,375,562.5,2203.1,9609.4,0.319796,562.5,0.366116,0.485854,0.14803,0.001030373
low,capture_20260719201551,capture_20260719201551,node03,6,2026-07-19T20:16:04.247Z,training,-87.13,234.4,0.675162,0.587641,0.10329,0.13812,0.0758,0.095149,93.8,187.5,1500,2062.5,10125,0.587641,93.8,0.696284,0.18488,0.118836,0.001176625
low,capture_20260719201551,capture_20260719201551,node03,7,2026-07-19T20:16:05.223Z,training,-87.12,421.9,0.176576,0.148671,0.456889,0.229384,0.083594,0.081462,46.9,421.9,656.2,2203.1,11203.1,0.456889,421.9,0.244547,0.629225,0.126228,0.001230886
low,capture_20260719201551,capture_20260719201551,node02,7,2026-07-19T20:16:05.230Z,training,-86.62,328.1,0.446666,0.409109,0.207826,0.217308,0.075033,0.090725,46.9,328.1,656.2,3421.9,6656.2,0.409109,46.9,0.462602,0.409924,0.127473,0.001149395
low,capture_20260719201551,capture_20260719201551,node04,7,2026-07-19T20:16:05.237Z,training,-86.9,234.4,0.333376,0.29474,0.279554,0.2665,0.088408,0.070799,46.9,234.4,890.6,2437.5,5765.6,0.29474,46.9,0.417729,0.454312,0.127959,0.001227583
low,capture_20260719201551,capture_20260719201551,node01,7,2026-07-19T20:16:05.243Z,training,-78.47,328.1,0.072761,0.069447,0.72154,0.157916,0.021281,0.029816,46.9,328.1,984.4,2156.2,10921.9,0.72154,328.1,0.088734,0.874669,0.036597,0.003457557
low,capture_20260719201551,capture_20260719201551,node04,8,2026-07-19T20:16:06.210Z,training,-86.55,328.1,0.295722,0.270206,0.166135,0.322665,0.103201,0.137793,93.8,328.1,515.6,2156.2,5484.4,0.322665,515.6,0.318452,0.500647,0.180901,0.0008472037
low,capture_20260719201551,capture_20260719201551,node03,8,2026-07-19T20:16:06.219Z,training,-87.27,515.6,0.182354,0.166286,0.261416,0.357442,0.116821,0.098035,46.9,468.8,515.6,2296.9,7500,0.357442,515.6,0.217602,0.614995,0.167403,0.0009345295
low,capture_20260719201551,capture_20260719201551,node02,8,2026-07-19T20:16:06.225Z,training,-87.19,234.4,0.141369,0.062973,0.289203,0.341286,0.132959,0.173579,140.6,187.5,890.6,2625,7218.8,0.341286,890.6,0.202428,0.544551,0.25302,0.0005730184
low,capture_20260719201551,capture_20260719201551,node01,8,2026-07-19T20:16:06.294Z,training,-83.39,375,0.419803,0.379135,0.363812,0.165655,0.045371,0.046028,46.9,375,1031.2,2390.6,11390.6,0.379135,46.9,0.440773,0.490011,0.069216,0.002005158
low,capture_20260719201551,capture_20260719201551,node04,9,2026-07-19T20:16:07.230Z,training,-86.54,234.4,0.697943,0.630123,0.119089,0.106448,0.073362,0.070977,46.9,187.5,1265.6,2062.5,8390.6,0.630123,46.9,0.737179,0.150883,0.111938,0.001325133
low,capture_20260719201551,capture_20260719201551,node03,9,2026-07-19T20:16:07.245Z,training,-86.64,281.2,0.317977,0.182078,0.497318,0.155814,0.081484,0.083305,140.6,281.2,515.6,2250,6468.8,0.497318,281.2,0.405249,0.463923,0.130828,0.001164821
low,capture_20260719201551,capture_20260719201551,node01,9,2026-07-19T20:16:07.249Z,training,-84.76,1500,0.134943,0.052754,0.433065,0.409442,0.052272,0.052466,46.9,234.4,1500,2765.6,5531.2,0.433065,234.4,0.244718,0.672768,0.082514,0.00187949
low,capture_20260719201551,capture_20260719201551,node02,9,2026-07-19T20:16:07.273Z,training,-86.98,234.4,0.421032,0.325169,0.198681,0.282554,0.097529,0.096065,46.9,187.5,562.5,2765.6,6328.1,0.325169,46.9,0.479844,0.368901,0.151256,0.001247635
low,capture_20260719201551,capture_20260719201551,node02,10,2026-07-19T20:16:08.208Z,training,-87.04,328.1,0.159467,0.136831,0.432409,0.19235,0.113636,0.124774,46.9,328.1,843.8,2109.4,9609.4,0.432409,328.1,0.167772,0.648898,0.18333,0.0008521248
low,capture_20260719201551,capture_20260719201551,node04,10,2026-07-19T20:16:08.215Z,training,-86.38,281.2,0.772493,0.740745,0.069764,0.093302,0.041831,0.054357,46.9,281.2,890.6,4921.9,6000,0.740745,46.9,0.778078,0.154762,0.067159,0.002124884
low,capture_20260719201551,capture_20260719201551,node03,10,2026-07-19T20:16:08.223Z,training,-86.15,421.9,0.421754,0.335672,0.253694,0.225211,0.062811,0.122613,46.9,421.9,656.2,4031.2,7171.9,0.335672,46.9,0.427124,0.440351,0.132526,0.0008459701
low,capture_20260719201551,capture_20260719201551,node01,10,2026-07-19T20:16:08.246Z,training,-84.27,796.9,0.372847,0.367375,0.173101,0.410437,0.024841,0.024247,46.9,328.1,796.9,3187.5,8109.4,0.410437,796.9,0.373012,0.589729,0.037259,0.004295859
low,capture_20260719201551,capture_20260719201551,node04,11,2026-07-19T20:16:09.209Z,training,-86.59,328.1,0.07451,0.063449,0.247528,0.33876,0.175331,0.174932,46.9,328.1,937.5,3375,5250,0.33876,937.5,0.102613,0.595145,0.302242,0.0006544779
low,capture_20260719201551,capture_20260719201551,node03,11,2026-07-19T20:16:09.250Z,training,-86.75,328.1,0.22393,0.185105,0.270229,0.299168,0.118715,0.126783,46.9,328.1,609.4,2625,5015.6,0.299168,609.4,0.295715,0.507901,0.196384,0.0007484899
low,capture_20260719201551,capture_20260719201551,node02,11,2026-07-19T20:16:09.271Z,training,-86.59,328.1,0.345978,0.252802,0.219257,0.194608,0.162138,0.171195,140.6,187.5,1500,2203.1,7218.8,0.252802,140.6,0.382162,0.336673,0.281165,0.0005984849
low,capture_20260719201551,capture_20260719201551,node01,11,2026-07-19T20:16:09.321Z,training,-83.66,328.1,0.237884,0.230207,0.60912,0.112137,0.023647,0.024888,46.9,328.1,1031.2,2203.1,8109.4,0.60912,328.1,0.239061,0.726478,0.034461,0.004294049
low,capture_20260719201551,capture_20260719201551,node03,12,2026-07-19T20:16:10.232Z,training,-86.93,468.8,0.177347,0.135929,0.165305,0.388926,0.119931,0.18991,93.8,468.8,656.2,2390.6,7218.8,0.388926,656.2,0.198066,0.566853,0.235081,0.0005579027
low,capture_20260719201551,capture_20260719201551,node04,12,2026-07-19T20:16:10.241Z,training,-86.31,281.2,0.571525,0.510247,0.223742,0.119219,0.079382,0.067409,46.9,281.2,656.2,2203.1,5296.9,0.510247,46.9,0.602361,0.282542,0.115098,0.001729177
