column,meaning
run_id,Capture ID shared by all nodes during one synchronized capture.
node_id,Node identifier. Use this to join to amy_node_positions_template.csv.
label,Known played sound/test condition.
target_freq_hz,Expected target test frequency. Corrected to 15000 for test_tone_15khz.
rows,Number of per-second feature rows used in this node/capture summary. About 59 means a good 60 s capture.
good_rows,Rows with sample_rate_ok true.
sample_rate_ok_ratio,good_rows / rows; use >=0.95 for reliable plots.
mean_effective_sample_rate_hz,Mean sample rate across the rows. Should be near 48000 Hz.
mean_f_peak_hz,Average detected peak frequency per row.
mean_band_bass_ratio,Average relative energy in bass band.
mean_band_low_mid_ratio,Average relative energy in low-mid band.
mean_band_mid_ratio,Average relative energy in mid band.
mean_band_presence_ratio,Average relative energy in presence band.
mean_band_high_ratio,Average relative energy in high band.
dominant_band_mode,Most common dominant band for that node/capture.
x_m,"Node x position in room, from node position template."
y_m,"Node y position in room, from node position template."
z_metric,Suggested feature to plot on the z axis.
z_value,Value of z_metric for direct MATLAB scatter3 plotting.
raw_rows_available_in_sdacs_acoustic_features_csv,True if raw rows for that run are present in the acoustic feature file; false means summary-only.
