column,role,use_in_edge_impulse,note
label,class label,yes,Target output class
rms,input feature,yes,Acoustic feature from firmware; numeric input.
dbfs,input feature,yes,Acoustic feature from firmware; numeric input.
f_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
f_peak_full_hz,input feature,yes,Acoustic feature from firmware; numeric input.
f_peak_acoustic_hz,input feature,yes,Acoustic feature from firmware; numeric input.
tone_1khz_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
tone_1khz_local_total_energy,input feature,yes,Acoustic feature from firmware; numeric input.
tone_1khz_local_noise_energy,input feature,yes,Acoustic feature from firmware; numeric input.
tone_1khz_local_noise_avg_energy,input feature,yes,Acoustic feature from firmware; numeric input.
tone_1khz_local_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
tone_1khz_contrast_db,input feature,yes,Acoustic feature from firmware; numeric input.
low_rumble_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
room_band_total_energy,input feature,yes,Acoustic feature from firmware; numeric input.
band_sub_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
band_bass_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
band_low_mid_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
band_mid_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
band_presence_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
band_high_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
band_sub_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
band_bass_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
band_low_mid_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
band_mid_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
band_presence_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
band_high_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
dominant_band_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
dominant_band_peak_hz,input feature,yes,Acoustic feature from firmware; numeric input.
fft_low_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
fft_mid_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
fft_high_ratio,input feature,yes,Acoustic feature from firmware; numeric input.
fft_total_energy,input feature,yes,Acoustic feature from firmware; numeric input.
timestamp_iso,exclude / metadata,no,"Metadata/debug column, not an input feature."
run_id,exclude / metadata,no,"Metadata/debug column, not an input feature."
node_id,exclude / metadata,no,Use only for filtering/debugging; do not train on it or model may learn node identity.
seq,exclude / metadata,no,"Metadata/debug column, not an input feature."
label,exclude / metadata,no,"Class target, not an input feature."
sample_rate_ok,exclude / metadata,no,Quality filter only.
effective_sample_rate_hz,exclude / metadata,no,Quality check only; should stay near 48000 Hz.
target_freq_hz,exclude / metadata,no,Metadata only; do NOT train on this because it gives away the label.
target_band,exclude / metadata,no,"Metadata/debug column, not an input feature."
suggested_z_metric,exclude / metadata,no,"Metadata/debug column, not an input feature."
db_spl,exclude / metadata,no,SPL is uncalibrated; keep out of first model.
temp_c,exclude / metadata,no,"Metadata/debug column, not an input feature."
rh_percent,exclude / metadata,no,"Metadata/debug column, not an input feature."
is_calibration,exclude / metadata,no,"Metadata/debug column, not an input feature."
calibration_ref_spl_db,exclude / metadata,no,"Metadata/debug column, not an input feature."
