label,capture_id,sample_index,dataset_split,dbfs_mean,dbfs_std,dbfs_range,f_peak_acoustic_hz_mean,f_peak_acoustic_hz_std,f_peak_acoustic_hz_range,low_rumble_ratio_mean,low_rumble_ratio_std,low_rumble_ratio_range,band_bass_ratio_mean,band_bass_ratio_std,band_bass_ratio_range,band_low_mid_ratio_mean,band_low_mid_ratio_std,band_low_mid_ratio_range,band_mid_ratio_mean,band_mid_ratio_std,band_mid_ratio_range,band_presence_ratio_mean,band_presence_ratio_std,band_presence_ratio_range,band_high_ratio_mean,band_high_ratio_std,band_high_ratio_range,band_bass_peak_hz_mean,band_bass_peak_hz_std,band_bass_peak_hz_range,band_low_mid_peak_hz_mean,band_low_mid_peak_hz_std,band_low_mid_peak_hz_range,band_mid_peak_hz_mean,band_mid_peak_hz_std,band_mid_peak_hz_range,band_presence_peak_hz_mean,band_presence_peak_hz_std,band_presence_peak_hz_range,band_high_peak_hz_mean,band_high_peak_hz_std,band_high_peak_hz_range,dominant_band_ratio_mean,dominant_band_ratio_std,dominant_band_ratio_range,dominant_band_peak_hz_mean,dominant_band_peak_hz_std,dominant_band_peak_hz_range,fft_low_ratio_mean,fft_low_ratio_std,fft_low_ratio_range,fft_mid_ratio_mean,fft_mid_ratio_std,fft_mid_ratio_range,fft_high_ratio_mean,fft_high_ratio_std,fft_high_ratio_range,fft_total_energy_mean,fft_total_energy_std,fft_total_energy_range
low,capture_20260719201551,3,training,-86.4075,0.8082504253,2.1,351.55,70.35,187.6,0.38427075,0.04698918588,0.130437,0.294776,0.0184678119,0.052211,0.32071575,0.0972214836,0.261158,0.18219525,0.03343593705,0.092403,0.09060725,0.03249318028,0.088882,0.1117055,0.03382670723,0.082709,70.325,40.57329017,93.7,246.075,60.87677615,140.6,574.2,51.06794494,140.6,3187.525,494.9757336,1359.4,7441.4,1891.112625,4546.8,0.34993675,0.07590718929,0.18534,164.05,84.48084102,234.3,0.4213985,0.04671117606,0.117538,0.41970925,0.1007734473,0.257456,0.15889225,0.05413663516,0.139918,0.00115279955,0.0005085666959,0.0013124202
low,capture_20260719201551,4,training,-86.45,0.8472307832,2.14,539.05,332.249526,796.8,0.42524525,0.09721517583,0.257672,0.35627625,0.1037060773,0.286123,0.239773,0.04260321826,0.115159,0.21003875,0.06960703232,0.188516,0.08740525,0.03399680391,0.086617,0.10650675,0.04138442561,0.106038,70.325,40.57329017,93.7,281.275,109.9476097,281.3,773.425,164.0464321,421.8,2917.95,447.6323631,1125,8613.275,1773.303636,4921.8,0.38477275,0.06723095826,0.172137,222.65,253.2162761,609.3,0.49498825,0.1353048749,0.374066,0.3601465,0.086390132,0.226065,0.14486525,0.05906973758,0.148001,0.001322246075,0.0007845773384,0.0018751687
low,capture_20260719201551,5,training,-86.4225,0.8992601125,2.27,281.25,46.85,93.7,0.51381375,0.1200414423,0.334694,0.40816275,0.1313488091,0.368426,0.23397025,0.07143002598,0.178251,0.17267225,0.04987307857,0.121645,0.08544,0.03731264127,0.100726,0.09975525,0.04075272968,0.108802,82.05,38.8497426,93.7,199.225,20.30829572,46.9,750,128.3770423,328.1,2976.55,673.2122604,1828.2,8121.1,2228.013787,6187.5,0.419425,0.115592275,0.323377,93.775,57.39971145,140.6,0.562863,0.13685226,0.386359,0.29480175,0.1035301601,0.271657,0.14233525,0.06178618332,0.163038,0.001273238425,0.0004696925628,0.0012042739
low,capture_20260719201551,6,training,-86.1975,1.116565605,2.83,468.75,178.478269,468.7,0.45558925,0.2023647664,0.500138,0.39662275,0.1823629257,0.439224,0.15982625,0.03945570939,0.103576,0.2389515,0.1118006263,0.257274,0.08910175,0.03569168007,0.095841,0.115498,0.04223845033,0.114659,58.625,20.30829572,46.9,304.675,77.73716534,187.5,937.5,358.5297129,937.5,2460.925,332.2830298,750,8085.95,1927.15137,4828.1,0.4598155,0.1136042694,0.267845,351.575,286.0655465,656.2,0.46997475,0.2039928426,0.507708,0.38274025,0.1530732099,0.38569,0.14728475,0.05895563899,0.159433,0.00105103225,0.0003298243415,0.000909319
low,capture_20260719201551,7,training,-84.7775,3.645945522,8.65,328.125,66.29126545,187.5,0.25734475,0.1433684401,0.373905,0.23049175,0.1310171804,0.339662,0.41645225,0.1981033247,0.513714,0.217777,0.03902631311,0.108584,0.067079,0.02687189231,0.067127,0.0682005,0.02325587305,0.060909,46.9,0,0,328.125,66.29126545,187.5,796.85,144.5068424,328.2,2554.675,511.9073372,1265.7,8636.7,2448.169901,5437.5,0.4705695,0.1564183126,0.4268,210.95,167.3684782,375,0.303403,0.1482915744,0.373868,0.5920325,0.182617849,0.464745,0.10456425,0.03924598798,0.091362,0.00176635525,0.000976960358,0.002308162
low,capture_20260719201551,8,training,-86.1,1.589308026,3.88,363.275,101.4721975,281.2,0.259812,0.1082995085,0.278434,0.21965,0.1176719733,0.316162,0.2701415,0.07076543956,0.197677,0.296762,0.0766884278,0.191787,0.099588,0.03302702222,0.087588,0.11385875,0.04740980461,0.127551,82.05,38.8497426,93.7,339.85,101.5039531,281.3,738.25,228.1316889,515.6,2367.175,170.6395964,468.8,7898.45,2158.902241,5906.2,0.350132,0.02078038687,0.05647,492.175,299.2113666,843.7,0.29481375,0.09534103349,0.238345,0.537551,0.04916434163,0.124984,0.167635,0.0654846134,0.183804,0.0010899774,0.0005449553324,0.0014321396
low,capture_20260719201551,9,training,-86.23,0.8642337647,2.22,562.5,541.6029819,1265.6,0.39297375,0.2037141927,0.563,0.297531,0.2148409135,0.577369,0.31203825,0.1573652909,0.378229,0.2385645,0.1177249028,0.302994,0.07616175,0.01630524818,0.045257,0.07570325,0.01608333526,0.043599,70.325,40.57329017,93.7,222.65,38.8497426,93.7,960.925,430.2573496,984.4,2460.925,311.8034427,703.1,6679.675,1050.515639,2859.4,0.47141875,0.1103605564,0.304954,152.35,106.7402572,234.3,0.4667475,0.1777525519,0.492461,0.41411875,0.1875617251,0.521885,0.119134,0.02530503574,0.068742,0.00140426975,0.0002801638181,0.000714669
low,capture_20260719201551,10,training,-85.96,1.028955781,2.77,457.025,202.6603486,515.7,0.43164025,0.2201211368,0.613026,0.39515575,0.2182164595,0.603914,0.232242,0.1326873907,0.362645,0.230325,0.114764856,0.317135,0.06077975,0.03334875567,0.088795,0.08149775,0.04352460879,0.100527,46.9,0,0,339.825,51.10809011,140.7,796.875,87.71514621,234.4,3562.5,1039.203139,2812.5,7722.675,1321.00811,3609.4,0.47981575,0.1548566313,0.405073,304.7,306.4841268,750,0.4364965,0.219663893,0.610306,0.458435,0.1910880627,0.494136,0.1050685,0.05681996825,0.146071,0.002029709475,0.001408229068,0.0034498889
low,capture_20260719201551,11,training,-85.8975,1.293471588,3.09,328.1,0,0,0.2205755,0.09665887716,0.271468,0.18289075,0.07313966936,0.189353,0.3365335,0.1584104188,0.389863,0.23616825,0.08888903339,0.226623,0.11995775,0.05941943137,0.151684,0.1244495,0.06052181855,0.150044,70.325,40.57329017,93.7,292.95,60.88158589,140.6,1019.525,318.5604917,890.6,2601.55,478.6176997,1171.9,6398.45,1306.860317,3093.8,0.3749625,0.1385715968,0.356318,503.9,300.8453673,796.9,0.25488775,0.1016165397,0.279549,0.54154925,0.141578273,0.389805,0.203563,0.1053644151,0.267781,0.001573875425,0.001571407333,0.0036955641
low,capture_20260719201551,12,training,-85.735,1.387975144,3.56,351.55,70.35,187.6,0.33128675,0.1800769875,0.432678,0.2902885,0.1660649552,0.386829,0.3122485,0.1931866804,0.479308,0.2168735,0.1042842523,0.269707,0.0809915,0.02728826939,0.077136,0.0995985,0.05708085841,0.152171,58.625,20.30829572,46.9,351.55,70.35,187.6,832,176.5769521,375,2437.475,279.2753603,703.1,6679.7,1534.206171,3703.1,0.4838365,0.1049637472,0.255687,269.525,251.0340453,609.3,0.35975175,0.1870180228,0.443737,0.501572,0.1910264281,0.498277,0.13867625,0.06320688277,0.174524,0.001560632925,0.0008261090419,0.0022408033
